,count,mean,std,min,25%,50%,75%,max,missing_values,data_types,unique_values,ID,Start_Time,End_Time,Description,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Wind_Direction,Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
Severity,11845.0,2.4893203883495145,0.7187071297069637,1.0,2.0,2.0,3.0,4.0,0.0,int64,4,,,,,,,,,,,,,,,,,,,,
Start_Lat,11845.0,33.78371431768679,0.09317466689873481,33.569125,33.720290000000006,33.768097,33.880022,33.999886,0.0,float64,3408,,,,,,,,,,,,,,,,,,,,
Start_Lng,11845.0,-84.39613102135922,0.07170190450105339,-84.654387,-84.44997,-84.391997,-84.35795,-84.238561,0.0,float64,3307,,,,,,,,,,,,,,,,,,,,
End_Lat,11845.0,33.78395028400169,0.0930825026905727,33.56302,33.725929,33.76774,33.880790000000005,34.0444,0.0,float64,3482,,,,,,,,,,,,,,,,,,,,
End_Lng,11845.0,-84.39576559138877,0.0725050267817293,-84.64015,-84.450518,-84.39184,-84.35795999999999,-84.148484,0.0,float64,3384,,,,,,,,,,,,,,,,,,,,
Distance(mi),11845.0,0.5662449978894049,0.677016630633255,0.0,0.165,0.3979999999999999,0.6890000000000001,10.931,0.0,float64,1659,,,,,,,,,,,,,,,,,,,,
Temperature(F),11811.0,62.528244856489714,15.504473303631494,11.7,51.1,64.0,73.9,98.0,34.0,float64,309,,,,,,,,,,,,,,,,,,,,
Wind_Chill(F),6559.0,57.96546729684403,18.27855150182839,-3.0,42.0,61.0,72.0,98.0,5286.0,float64,261,,,,,,,,,,,,,,,,,,,,
Humidity(%),11795.0,71.21797371767698,21.15517294118866,11.0,54.0,75.0,90.0,100.0,50.0,float64,90,,,,,,,,,,,,,,,,,,,,
Pressure(in),11819.0,29.572059395887976,0.5535232827664703,28.32,29.03,29.77,30.08,30.75,26.0,float64,219,,,,,,,,,,,,,,,,,,,,
Visibility(mi),11810.0,8.926454699407282,2.410010361268851,0.1,10.0,10.0,10.0,10.0,35.0,float64,25,,,,,,,,,,,,,,,,,,,,
Wind_Speed(mph),10708.0,7.282013447889429,4.703722732638237,0.0,4.6,6.9,10.0,33.4,1137.0,float64,50,,,,,,,,,,,,,,,,,,,,
Precipitation(in),6729.0,0.017506315945905782,0.0726950163050852,0.0,0.0,0.0,0.0,1.4,5116.0,float64,64,,,,,,,,,,,,,,,,,,,,
mode,,,,,,,,,,,,A-2749196,2020-12-15 03:30:00,2020-12-15 06:30:00,At 10th St/Exit 250 - Accident.,GA-403 N,R,Atlanta,Fulton,GA,30315,US,US/Eastern,KATL,2020-12-15 03:53:00,CALM,Fair,Day,Day,Day,Day
count,,,,,,,,,,,,1.0,23.0,23.0,108.0,981.0,11410.0,11845.0,8137.0,11845.0,940.0,11845.0,11845.0,4189.0,30.0,1197.0,2336.0,6772.0,7330.0,7915.0,8415.0
