,count,mean,std,min,25%,50%,75%,max,missing_values,data_types,unique_values
Severity,11845.0,2.4893203883495145,0.7187071297069637,1.0,2.0,2.0,3.0,4.0,0.0,float64,4
Start_Lat,11845.0,0.4981632916786523,0.21630246679419932,0.0,0.3509254551828178,0.4619081114585555,0.7217389689410112,1.0,0.0,float64,3408
Start_Lng,11845.0,0.549556729446607,0.20425335568806283,0.0,0.39505275061910083,0.5607140300900255,0.6581903030476326,1.0,0.0,float64,3297
End_Lat,11845.0,0.45895193818123664,0.19336595348907895,0.0,0.3384207902280849,0.42527732768290605,0.6601229797664985,1.0,0.0,float64,3482
End_Lng,11845.0,0.5266083855136428,0.19582819551149047,0.0,0.3783752035230066,0.537041185405343,0.6297329341186639,1.0,0.0,float64,3363
Distance(mi),11845.0,0.2800054549709197,0.21795106836977438,0.0,0.11186440677966102,0.2698305084745762,0.38983050847457623,1.0,0.0,float64,1179
Temperature(F),11845.0,0.5617905617599311,0.1909721803548879,0.0,0.42027194066749074,0.5797280593325093,0.7021013597033375,1.0,0.0,float64,307
Wind_Chill(F),11845.0,0.45323846944240087,0.171975032576518,0.0,0.3735611373685015,0.3735611373685015,0.45323846944240087,1.0,0.0,float64,27
Humidity(%),11845.0,0.6766064462660335,0.23719631391461135,0.0,0.4943820224719101,0.7191011235955056,0.8876404494382023,1.0,0.0,float64,91
Pressure(in),11845.0,0.5152507802008137,0.22753720190339324,0.0,0.29218106995884874,0.5967078189300405,0.7242798353909468,1.0,0.0,float64,220
Visibility(mi),11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
Wind_Speed(mph),11845.0,0.4228068833104985,0.2284199937243934,0.0,0.2875,0.43125,0.5625,1.0,0.0,float64,29
Precipitation(in),11845.0,0.22653012711020365,0.22443458572525268,0.0,0.0,0.22653012711020362,0.43765789864764454,1.0,0.0,float64,7
ID_A-2749196,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749218,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749233,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749242,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749273,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749287,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749322,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749395,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749586,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749781,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749884,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749940,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2749985,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750047,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750120,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750142,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750171,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750263,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750264,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750267,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750276,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750277,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750282,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750286,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750288,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750297,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750305,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750324,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750331,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750333,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750348,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750349,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750364,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750391,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750400,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750403,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750404,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750421,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750451,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750453,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750570,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750657,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750659,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750664,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750769,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750821,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750822,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750823,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750848,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2750849,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751013,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751014,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751066,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751127,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751493,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751548,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751636,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751641,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751669,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751742,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751767,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751774,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751775,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751786,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751803,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751836,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
ID_A-2751983,11845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,float64,1
